conference,year,title,abstract,authors,paper_url,pdf_url,source
ICLR,2015,Word Representations via Gaussian Embedding,,Luke Vilnis; Andrew McCallum,http://arxiv.org/abs/1412.6623,https://arxiv.org/pdf/1412.6623.pdf,iclr_archive
ICLR,2015,Deep Captioning with Multimodal Recurrent Neural Networks (m-RNN),,Junhua Mao; Wei Xu; Yi Yang; Jiang Wang; Alan Yuille,http://arxiv.org/abs/1412.6632,https://arxiv.org/pdf/1412.6632.pdf,iclr_archive
ICLR,2015,Deep Structured Output Learning for Unconstrained Text Recognition,,Max Jaderberg; Karen Simonyan; Andrea Vedaldi; Andrew Zisserman,http://arxiv.org/abs/1412.5903,https://arxiv.org/pdf/1412.5903.pdf,iclr_archive
ICLR,2015,Very Deep Convolutional Networks for Large-Scale Image Recognition,,Karen Simonyan; Andrew Zisserman,http://arxiv.org/abs/1409.1556,https://arxiv.org/pdf/1409.1556.pdf,iclr_archive
ICLR,2015,Fast Convolutional Nets With fbfft: A GPU Performance Evaluation,,Nicolas Vasilache; Jeff Johnson; Michael Mathieu; Soumith Chintala; Serkan Piantino; Yann LeCun,http://arxiv.org/abs/1412.7580,https://arxiv.org/pdf/1412.7580.pdf,iclr_archive
ICLR,2015,Reweighted Wake-Sleep,,Jorg Bornschein; Yoshua Bengio,http://arxiv.org/abs/1406.2751,https://arxiv.org/pdf/1406.2751.pdf,iclr_archive
ICLR,2015,The local low-dimensionality of natural images,,Olivier Henaff; Johannes Balle; Neil Rabinowitz; Eero Simoncelli,http://arxiv.org/abs/1412.6626,https://arxiv.org/pdf/1412.6626.pdf,iclr_archive
ICLR,2015,Memory Networks,,Jason Weston; Sumit Chopra; Antoine Bordes,http://arxiv.org/abs/1410.3916,https://arxiv.org/pdf/1410.3916.pdf,iclr_archive
ICLR,2015,Object detectors emerge in Deep Scene CNNs,,Bolei Zhou; Aditya Khosla; Agata Lapedriza; Aude Oliva; Antonio Torralba,http://arxiv.org/abs/1412.6856,https://arxiv.org/pdf/1412.6856.pdf,iclr_archive
ICLR,2015,Qualitatively characterizing neural network optimization problems,,Ian Goodfellow; Oriol Vinyals,http://arxiv.org/abs/1412.6544,https://arxiv.org/pdf/1412.6544.pdf,iclr_archive
ICLR,2015,Neural Machine Translation by Jointly Learning to Align and Translate,,Dzmitry Bahdanau; Kyunghyun Cho; Yoshua Bengio,http://arxiv.org/abs/1409.0473,https://arxiv.org/pdf/1409.0473.pdf,iclr_archive
ICLR,2015,FitNets: Hints for Thin Deep Nets,,Adriana Romero; Nicolas Ballas; Samira Ebrahimi Kahou; Antoine Chassang; Carlo Gatta; Yoshua Bengio,http://arxiv.org/abs/1412.6550,https://arxiv.org/pdf/1412.6550.pdf,iclr_archive
ICLR,2015,Techniques for Learning Binary Stochastic Feedforward Neural Networks,,Tapani Raiko; Mathias Berglund; Guillaume Alain; Laurent Dinh,http://arxiv.org/abs/1406.2989,https://arxiv.org/pdf/1406.2989.pdf,iclr_archive
ICLR,2015,Semantic Image Segmentation with Deep Convolutional Nets and Fully Connected CRFs,,Liang-Chieh Chen; George Papandreou; Iasonas Kokkinos; Kevin Murphy; Alan Yuille,http://arxiv.org/abs/1412.7062,https://arxiv.org/pdf/1412.7062.pdf,iclr_archive
ICLR,2015,Multiple Object Recognition with Visual Attention,,Jimmy Ba; Volodymyr Mnih; Koray Kavukcuoglu,http://arxiv.org/abs/1412.7755,https://arxiv.org/pdf/1412.7755.pdf,iclr_archive
ICLR,2015,Deep Narrow Boltzmann Machines are Universal Approximators,,Guido Montufar,http://arxiv.org/abs/1411.3784,https://arxiv.org/pdf/1411.3784.pdf,iclr_archive
ICLR,2015,Transformation Properties of Learned Visual Representations,,Taco Cohen; Max Welling,http://arxiv.org/abs/1412.7659,https://arxiv.org/pdf/1412.7659.pdf,iclr_archive
ICLR,2015,Joint RNN-Based Greedy Parsing and Word Composition,,Joël Legrand; Ronan Collobert,http://arxiv.org/abs/1412.7028,https://arxiv.org/pdf/1412.7028.pdf,iclr_archive
ICLR,2015,Adam: A Method for Stochastic Optimization,,Jimmy Ba; Diederik Kingma,http://arxiv.org/abs/1412.6980,https://arxiv.org/pdf/1412.6980.pdf,iclr_archive
ICLR,2015,Scheduled denoising autoencoders,,Krzysztof Geras; Charles Sutton,http://arxiv.org/abs/1406.3269,https://arxiv.org/pdf/1406.3269.pdf,iclr_archive
