conference,year,title,abstract,authors,paper_url,pdf_url,source
ICLR,2016,Segmental Recurrent Neural Networks,,Lingpeng Kong; Chris Dyer; Noah Smith,http://arxiv.org/abs/1511.06018,https://arxiv.org/pdf/1511.06018.pdf,iclr_archive
ICLR,2016,Deep Linear Discriminant Analysis,,[code] Matthias Dorfer; Rainer Kelz; Gerhard Widmer,http://arxiv.org/abs/1511.04707,https://arxiv.org/pdf/1511.04707.pdf,iclr_archive
ICLR,2016,Large-Scale Approximate Kernel Canonical Correlation Analysis,,Weiran Wang; Karen Livescu,http://arxiv.org/abs/1511.04773,https://arxiv.org/pdf/1511.04773.pdf,iclr_archive
ICLR,2016,Unsupervised Representation Learning with Deep Convolutional Generative Adversarial Networks,,Alec Radford; Luke Metz; Soumith Chintala,http://arxiv.org/abs/1511.06434,https://arxiv.org/pdf/1511.06434.pdf,iclr_archive
ICLR,2016,Learning Representations from EEG with Deep Recurrent-Convolutional Neural Networks,,[code] Pouya Bashivan; Irina Rish; Mohammed Yeasin; Noel Codella,http://arxiv.org/abs/1511.06448,https://arxiv.org/pdf/1511.06448.pdf,iclr_archive
ICLR,2016,Digging Deep into the layers of CNNs: In Search of How CNNs Achieve View Invariance,,Amr Bakry; Mohamed Elhoseiny; Tarek El-Gaaly; Ahmed Elgammal,http://arxiv.org/abs/1508.01983,https://arxiv.org/pdf/1508.01983.pdf,iclr_archive
ICLR,2016,An Exploration of Softmax Alternatives Belonging to the Spherical Loss Family,,Alexandre De Brébisson; Pascal Vincent,http://arxiv.org/abs/1511.05042,https://arxiv.org/pdf/1511.05042.pdf,iclr_archive
ICLR,2016,Data-Dependent Path Normalization in Neural Networks,,Behnam Neyshabur; Ryota Tomioka; Ruslan Salakhutdinov; Nathan Srebro,http://arxiv.org/abs/1511.06747,https://arxiv.org/pdf/1511.06747.pdf,iclr_archive
ICLR,2016,Reasoning in Vector Space: An Exploratory Study of Question Answering,,Moontae Lee; Xiaodong He; Wen-tau Yih; Jianfeng Gao; Li Deng; Paul Smolensky,http://arxiv.org/abs/1511.06426,https://arxiv.org/pdf/1511.06426.pdf,iclr_archive
ICLR,2016,Neural GPUs Learn Algorithms,,[code] [video] Lukasz Kaiser; Ilya Sutskever,http://arxiv.org/abs/1511.08228,https://arxiv.org/pdf/1511.08228.pdf,iclr_archive
ICLR,2016,ACDC: A Structured Efficient Linear Layer,,Marcin Moczulski; Misha Denil; Jeremy Appleyard; Nando de Freitas,http://arxiv.org/abs/1511.05946,https://arxiv.org/pdf/1511.05946.pdf,iclr_archive
ICLR,2016,Density Modeling of Images using a Generalized Normalization Transformation,,Johannes Ballé; Valero Laparra; Eero Simoncelli,http://arxiv.org/abs/1511.06281,https://arxiv.org/pdf/1511.06281.pdf,iclr_archive
ICLR,2016,Adversarial Manipulation of Deep Representations,,[code] Sara Sabour; Yanshuai Cao; Fartash Faghri; David Fleet,http://arxiv.org/abs/1511.05122,https://arxiv.org/pdf/1511.05122.pdf,iclr_archive
ICLR,2016,Geodesics of learned representations,,Olivier Hénaff; Eero Simoncelli,http://arxiv.org/abs/1511.06394,https://arxiv.org/pdf/1511.06394.pdf,iclr_archive
ICLR,2016,Sequence Level Training with Recurrent Neural Networks,,Marc'Aurelio Ranzato; Sumit Chopra; Michael Auli; Wojciech Zaremba,http://arxiv.org/abs/1511.06732,https://arxiv.org/pdf/1511.06732.pdf,iclr_archive
ICLR,2016,Super-resolution with deep convolutional sufficient statistics,,Joan Bruna; Pablo Sprechmann; Yann Lecun,http://arxiv.org/abs/1511.05666,https://arxiv.org/pdf/1511.05666.pdf,iclr_archive
ICLR,2016,Variational Gaussian Process,,Dustin Tran; Rajesh Ranganath; David Blei,http://arxiv.org/abs/1511.06499,https://arxiv.org/pdf/1511.06499.pdf,iclr_archive
